Id,Category
1,1
2,9
3,1
4,6
5,7
6,1
7,2
8,6
9,3
10,3
11,0
12,0
13,0
14,4
15,1
16,3
17,2
18,0
19,2
20,1
21,2
22,0
23,9
24,4
25,4
26,9
27,9
28,8
29,1
30,1
31,1
32,3
33,0
34,8
35,4
36,4
37,6
38,1
39,3
40,0
41,1
42,8
43,9
44,9
45,7
46,7
47,7
48,7
49,2
50,8
51,7
52,8
53,2
54,6
55,9
56,5
57,1
58,4
59,2
60,2
61,7
62,1
63,6
64,2
65,6
66,7
67,7
68,6
69,4
70,5
71,0
72,8
73,0
74,4
75,8
76,7
77,3
78,8
79,1
80,3
81,5
82,1
83,9
84,5
85,6
86,9
87,5
88,5
89,7
90,4
91,1
92,9
93,8
94,0
95,9
96,6
97,2
98,0
99,5
100,5
101,0
102,6
103,6
104,2
105,8
106,0
107,9
108,8
109,2
110,7
111,3
112,1
113,6
114,4
115,7
116,2
117,1
118,9
119,8
120,7
121,1
122,0
123,2
124,9
125,9
126,0
127,9
128,1
129,9
130,0
131,4
132,0
133,7
134,3
135,0
136,3
137,7
138,2
139,4
140,9
141,1
142,9
143,9
144,9
145,2
146,6
147,7
148,3
149,0
150,1
151,3
152,3
153,1
154,4
155,4
156,2
157,3
158,0
159,1
160,6
161,7
162,8
163,1
164,2
165,9
166,8
167,8
168,3
169,4
170,8
171,6
172,1
173,3
174,9
175,7
176,5
177,9
178,5
179,2
180,7
181,2
182,4
183,8
184,4
185,8
186,2
187,1
188,7
189,6
190,5
191,2
192,4
193,2
194,6
195,6
196,6
197,0
198,9
199,7
200,0
201,6
202,2
203,1
204,5
205,3
206,9
207,8
208,7
209,7
210,2
211,9
212,3
213,1
214,9
215,7
216,5
217,5
218,5
219,8
220,7
221,7
222,2
223,1
224,9
225,2
226,9
227,1
228,0
229,7
230,1
231,6
232,3
233,0
234,3
235,3
236,1
237,9
238,8
239,2
240,7
241,7
242,3
243,3
244,1
245,8
246,3
247,0
248,7
249,2
250,4
251,3
252,7
253,4
254,1
255,2
256,3
257,2
258,2
259,3
260,6
261,3
262,2
263,0
264,9
265,4
266,5
267,9
268,8
269,1
270,2
271,9
272,8
273,8
274,5
275,6
276,2
277,1
278,9
279,7
280,6
281,1
282,8
283,5
284,4
285,3
286,3
287,5
288,2
289,4
290,4
291,9
292,5
293,2
294,5
295,4
296,1
297,5
298,4
299,3
300,2
301,8
302,9
303,7
304,4
305,2
306,9
307,3
308,5
309,9
310,4
311,4
312,2
313,6
314,6
315,6
316,3
317,0
318,5
319,6
320,1
321,6
322,1
323,0
324,8
325,2
326,5
327,9
328,6
329,0
330,7
331,6
332,0
333,1
334,7
335,9
336,4
337,2
338,7
339,5
340,0
341,5
342,5
343,3
344,3
345,8
346,9
347,3
348,3
349,2
350,9
351,4
352,7
353,1
354,5
355,5
356,6
357,8
358,6
359,1
360,4
361,5
362,9
363,8
